iter	Passed	Remaining
0	22	22095
1	44	22067
2	67	22591
3	86	21606
4	106	21158
5	127	21070
6	147	20903
7	170	21109
8	190	21025
9	210	20856
10	230	20707
11	251	20667
12	271	20621
13	294	20715
14	313	20563
15	331	20405
16	353	20424
17	372	20331
18	391	20234
19	414	20300
20	432	20162
21	456	20280
22	477	20276
23	497	20216
24	517	20171
25	536	20085
26	556	20045
27	578	20067
28	597	19995
29	618	19984
30	638	19972
31	660	19981
32	681	19964
33	702	19969
34	724	19978
35	744	19938
36	767	19972
37	790	20017
38	814	20071
39	836	20084
40	856	20026
41	876	19981
42	896	19958
43	919	19981
44	938	19912
45	959	19890
46	980	19887
47	1002	19881
48	1027	19932
49	1051	19974
50	1076	20029
51	1100	20055
52	1122	20065
53	1148	20123
54	1171	20135
55	1196	20177
56	1219	20172
57	1242	20179
58	1267	20208
59	1291	20227
60	1316	20265
61	1338	20254
62	1360	20231
63	1381	20206
64	1401	20164
65	1423	20145
66	1447	20151
67	1468	20129
68	1489	20097
69	1512	20096
70	1534	20076
71	1553	20029
72	1574	19991
73	1596	19972
74	1619	19972
75	1640	19944
76	1660	19907
77	1683	19894
78	1705	19885
79	1729	19887
80	1748	19833
81	1766	19780
82	1787	19753
83	1810	19740
84	1833	19734
85	1855	19715
86	1876	19688
87	1898	19670
88	1920	19661
89	1944	19659
90	1963	19616
91	1984	19585
92	2006	19570
93	2030	19571
94	2053	19560
95	2075	19548
96	2097	19522
97	2114	19466
98	2135	19432
99	2158	19424
100	2179	19398
101	2200	19374
102	2221	19345
103	2243	19330
104	2264	19300
105	2282	19254
106	2302	19218
107	2322	19186
108	2347	19189
109	2371	19189
110	2393	19166
111	2414	19142
112	2438	19138
113	2461	19133
114	2484	19123
115	2505	19095
116	2528	19079
117	2550	19066
118	2573	19049
119	2594	19029
120	2616	19009
121	2639	18998
122	2660	18970
123	2682	18947
124	2702	18920
125	2725	18902
126	2746	18882
127	2768	18860
128	2793	18864
129	2816	18850
130	2838	18830
131	2860	18807
132	2883	18799
133	2906	18786
134	2929	18767
135	2950	18744
136	2972	18725
137	2997	18721
138	3019	18703
139	3042	18687
140	3066	18679
141	3089	18667
142	3112	18651
143	3134	18630
144	3152	18591
145	3175	18573
146	3197	18556
147	3222	18550
148	3245	18538
149	3267	18517
150	3291	18503
151	3317	18509
152	3340	18494
153	3366	18495
154	3392	18492
155	3419	18497
156	3445	18502
157	3469	18490
158	3494	18482
159	3520	18483
160	3546	18480
161	3571	18473
162	3594	18457
163	3618	18443
164	3651	18478
165	3696	18570
166	3737	18644
167	3780	18721
168	3828	18824
169	3864	18867
170	3912	18968
171	3942	18977
172	3966	18959
173	3988	18932
174	4013	18918
175	4043	18929
176	4069	18923
177	4098	18924
178	4124	18918
179	4152	18917
180	4179	18911
181	4204	18898
182	4230	18885
183	4258	18884
184	4286	18885
185	4313	18878
186	4341	18875
187	4367	18865
188	4392	18847
189	4416	18826
190	4443	18819
191	4471	18817
192	4499	18814
193	4525	18800
194	4550	18786
195	4574	18764
196	4599	18747
197	4624	18733
198	4650	18717
199	4677	18708
200	4704	18699
201	4728	18681
202	4757	18678
203	4788	18685
204	4819	18688
205	4849	18692
206	4872	18667
207	4898	18652
208	4921	18626
209	4943	18595
210	4965	18566
211	4988	18543
212	5012	18518
213	5032	18484
214	5055	18457
215	5077	18430
216	5102	18411
217	5123	18378
218	5145	18350
219	5167	18322
220	5191	18298
221	5212	18268
222	5234	18238
223	5255	18207
224	5277	18177
225	5301	18156
226	5322	18124
227	5343	18092
228	5373	18090
229	5400	18078
230	5425	18061
231	5448	18035
232	5469	18003
233	5491	17975
234	5514	17952
235	5536	17922
236	5556	17888
237	5578	17861
238	5600	17831
239	5622	17803
240	5645	17778
241	5665	17746
242	5686	17716
243	5711	17697
244	5739	17685
245	5765	17671
246	5794	17664
247	5821	17653
248	5847	17635
249	5871	17614
250	5895	17593
251	5921	17575
252	5945	17555
253	5969	17531
254	5993	17510
255	6015	17482
256	6038	17457
257	6060	17431
258	6080	17395
259	6102	17368
260	6127	17348
261	6149	17323
262	6172	17295
263	6192	17264
264	6213	17233
265	6235	17206
266	6258	17180
267	6279	17150
268	6300	17120
269	6321	17092
270	6343	17065
271	6365	17037
272	6387	17009
273	6407	16978
274	6428	16948
275	6453	16929
276	6474	16900
277	6495	16868
278	6515	16837
279	6538	16813
